group,variable,value,value2,
1,1,2,I will not smoke more than 6 a day,
2,1,5,I will not drink too,
3,1,1,Successful,
4,1,4,I have to compensate for yesterday's lack of nicotine,
5,1,1,Went out only once to smoke,
6,1,4,Smoking is happy and stress-relieving,
7,1,2,Normal weekend smoking,
1,2,1,Did not think of smoking so much today,
2,2,4,I was bored so I smoked,
3,2,5,Today I was not bored but just wanted to smoke,
4,2,4,Smoking as a habit,
5,2,3,I really think I might die early because of smoking since I am already sick,
6,2,3,I will quit smoking next week,
7,2,2,Feeling a little guilty,
1,3,1,Feeling more guilty,
2,3,4,Overcame guilt,
3,3,4,Guilty-free life,
4,3,5,Sheer happiness,
5,3,3,Only had 3 cigarettes,
6,3,0,I was unable to smoke because I went to my parents house,
7,3,0,Still at my parents house,
1,4,2,Welcome back smoking,
2,4,5,Hate school so I smoked a lot and attended classes anyway,
3,4,5,Nicotine can help me overcome my day,
4,4,5,Nicotine can help me overcome my day,
5,4,0,Stayed in bed all day but smoked JUUL,
6,4,2,Smoking as a habit,
7,4,2,Smoking as a habit,
1,5,2,I should stop this,
2,5,0,I think it is pretty easy,
3,5,0,Why is this so easy? Yay,
4,5,0,I can feel that my lung is happy,
5,5,0,That secondhand smoking was good,
6,5,0,I am doing pretty well,
7,5,0,I almost failed because I drank tequila a lot,
1,6,0,My joints hurt from yesterday's alcohol,
2,6,0,Actually this saves me a lot of money,
3,6,0,Now I can buy games instead of buying cigarettes,
4,6,0,I think my eyes are gaining glows of health,
5,6,0,Somethimes I enjoy secondhand smoking,
6,6,0,Still I feel fine,
7,6,0,Now I can walk for more than 30min without being tired,
1,7,0,I feel strong and healthy,
2,7,0,Actually nothing changed so much but I feel confident,
3,7,0,No thoughts just busy,
4,7,0,No thoughts just busy,
5,7,0,I slept all day,
6,7,0,NO TIME TO SMOKE,
7,7,0,When I want to smoke I just play game,
1,8,0,Since I do not smoke now I talk less in school,
2,8,0,Doing great,
3,8,0,Doing great,
4,8,1,... My friend tempted me,
5,8,0,Hmmm,
6,8,0,I did not smoke today,
7,8,0,I will not smoke for the rest of my life,
